"Date","Primary_Bird","Video_Num","Subject","Behavior","Modifiers","Vid_occurrences","Vid_duration","Vid_visible","Day_visible","Day_occurrences","Day_duration","Rate_per_min_vid","Rate_per_min_day","Percent_time_visible_vid","Percent_time_visible_day"
2025-06-10,"BB","2","No focal subject","Close proximity","Other crow #2|Broken beak",1,5.96,NA,NA,1,5.96,NA,NA,NA,NA
2025-06-10,"BB","2","No focal subject","Unclear video","",3,13.16,NA,NA,71,422.483,NA,NA,NA,NA
2025-06-10,"BB","2","Broken beak","Feed","Auto-|Unknown|None",6,NA,80.28,1741.873,89,NA,4.48430493273543,3.06566552211327,NA,NA
2025-06-10,"BB","2","Broken beak","Feed","Auto-|Successful|None",1,NA,80.28,1741.873,39,NA,0.747384155455904,1.34338152092604,NA,NA
2025-06-10,"BB","2","Broken beak","Foraging","",3,80.28,80.28,1741.873,63,1597.954,NA,NA,100,91.7376869611045
2025-06-10,"BB","2","Other crow #1","Brief flight","",1,1.04,67.32,2006.035,3,6.16,NA,NA,1.54486036838978,0.307073405997403
2025-06-10,"BB","2","Other crow #1","Feed","Auto-|Unknown|None",1,NA,67.32,2006.035,28,NA,0.89126559714795,0.837472925447462,NA,NA
2025-06-10,"BB","2","Other crow #1","Foraging","",3,21.68,67.32,2006.035,78,1611.199,NA,NA,32.2043969102793,80.3175916671444
2025-06-10,"BB","2","Other crow #1","Resting","",2,44.6,67.32,2006.035,5,163.719,NA,NA,66.250742721331,8.16132320722221
2025-06-10,"BB","2","Other crow #2","Resting","",2,19.12,19.12,135.6,3,48.88,NA,NA,100,36.047197640118
2025-06-10,"BB","3","No focal subject","Close proximity","Mutual|Mutual",2,65.52,NA,NA,17,294.558,NA,NA,NA,NA
2025-06-10,"BB","3","No focal subject","Unclear video","",3,33.58,NA,NA,71,422.483,NA,NA,NA,NA
2025-06-10,"BB","3","Broken beak","Alert","",1,1.279,120.919,1741.873,11,68.439,NA,NA,1.05773286249473,3.92904649190842
2025-06-10,"BB","3","Broken beak","Feed","Auto-|Unknown|None",11,NA,120.919,1741.873,89,NA,5.45819929043409,3.06566552211327,NA,NA
2025-06-10,"BB","3","Broken beak","Feed","Auto-|Successful|None",1,NA,120.919,1741.873,39,NA,0.496199935494008,1.34338152092604,NA,NA
2025-06-10,"BB","3","Broken beak","Foraging","",4,119.64,120.919,1741.873,63,1597.954,NA,NA,98.9422671375053,91.7376869611045
2025-06-10,"BB","3","Other crow #1","Feed","Auto-|Unknown|None",2,NA,54.44,2006.035,28,NA,2.20426157237326,0.837472925447462,NA,NA
2025-06-10,"BB","3","Other crow #1","Foraging","",1,33.88,54.44,2006.035,78,1611.199,NA,NA,62.2336517266716,80.3175916671444
2025-06-10,"BB","3","Other crow #1","Resting","",1,20.56,54.44,2006.035,5,163.719,NA,NA,37.7663482733284,8.16132320722221
2025-06-10,"BB","3","Other crow #2","Preen","Auto-|None",1,13.04,31.32,135.6,2,20.6,NA,NA,41.6347381864623,15.1917404129793
2025-06-10,"BB","3","Other crow #2","Feed","Auto-|Unknown|None",2,NA,31.32,135.6,4,NA,3.83141762452107,1.76991150442478,NA,NA
2025-06-10,"BB","3","Other crow #2","Foraging","",2,18.28,31.32,135.6,7,54.12,NA,NA,58.3652618135377,39.9115044247788
2025-06-10,"BB","4","No focal subject","Unclear video","",3,16.679,NA,NA,71,422.483,NA,NA,NA,NA
2025-06-10,"BB","4","Broken beak","Resting","",1,20.12,20.12,1741.873,1,20.12,NA,NA,100,1.15507847012957
2025-06-10,"BB","4","Other crow #1","Foraging","",2,11.68,11.68,2006.035,78,1611.199,NA,NA,100,80.3175916671444
2025-06-10,"BB","5","No focal subject","Close proximity","Mutual|Mutual",7,118.118,NA,NA,17,294.558,NA,NA,NA,NA
2025-06-10,"BB","5","No focal subject","Close proximity","Other crow #1|Broken beak",4,81.96,NA,NA,8,209.84,NA,NA,NA,NA
2025-06-10,"BB","5","No focal subject","Close proximity","Broken beak|Other crow #1",1,23.12,NA,NA,5,72.04,NA,NA,NA,NA
2025-06-10,"BB","5","No focal subject","Begging session","Broken beak,Other crow #1",1,21.88,NA,NA,2,46.04,NA,NA,NA,NA
2025-06-10,"BB","5","No focal subject","Unclear video","",14,20.956,NA,NA,71,422.483,NA,NA,NA,NA
2025-06-10,"BB","5","Broken beak","Preen","Auto-|None",3,3.64,1078.957,1741.873,3,3.64,NA,NA,0.337362842078044,0.208970458810717
2025-06-10,"BB","5","Broken beak","Brief flight","",1,4.64,1078.957,1741.873,2,5.68,NA,NA,0.430044941550034,0.326085770891448
2025-06-10,"BB","5","Broken beak","Alert","",8,50.16,1078.957,1741.873,11,68.439,NA,NA,4.64893410951502,3.92904649190842
2025-06-10,"BB","5","Broken beak","Vocal","",1,NA,1078.957,1741.873,1,NA,0.055609259683194,0.0344456800237446,NA,NA
2025-06-10,"BB","5","Broken beak","Feed","Auto-|Unknown|None",36,NA,1078.957,1741.873,89,NA,2.00193334859499,3.06566552211327,NA,NA
2025-06-10,"BB","5","Broken beak","Feed","Auto-|Unsuccessful|None",40,NA,1078.957,1741.873,63,NA,2.22437038732776,2.17007784149591,NA,NA
2025-06-10,"BB","5","Broken beak","Feed","Auto-|Successful|None",25,NA,1078.957,1741.873,39,NA,1.39023149207985,1.34338152092604,NA,NA
2025-06-10,"BB","5","Broken beak","Foraging","",25,998.637,1078.957,1741.873,63,1597.954,NA,NA,92.5557737704097,91.7376869611045
2025-06-10,"BB","5","Broken beak","Beg call","",5,NA,1078.957,1741.873,6,NA,0.27804629841597,0.206674080142467,NA,NA
2025-06-10,"BB","5","Broken beak","Wing flutter","",16,NA,1078.957,1741.873,29,NA,0.889748154931105,0.998924720688592,NA,NA
2025-06-10,"BB","5","Broken beak","Open mouth","",6,NA,1078.957,1741.873,10,NA,0.333655558099164,0.344456800237446,NA,NA
2025-06-10,"BB","5","Other crow #1","Alert","",2,12.84,238.759,2006.035,28,165.597,NA,NA,5.37780774756135,8.2549407163883
2025-06-10,"BB","5","Other crow #1","Feed","Auto-|Successful|None",10,NA,238.759,2006.035,31,NA,2.51299427456138,0.92720216745969,NA,NA
2025-06-10,"BB","5","Other crow #1","Feed","Auto-|Unknown|None",3,NA,238.759,2006.035,28,NA,0.753898282368413,0.837472925447462,NA,NA
2025-06-10,"BB","5","Other crow #1","Feed","Allo-|Successful|Broken beak",3,NA,238.759,2006.035,6,NA,0.753898282368413,0.179458484024456,NA,NA
2025-06-10,"BB","5","Other crow #1","Foraging","",15,204.039,238.759,2006.035,78,1611.199,NA,NA,85.4581397978715,80.3175916671444
2025-06-10,"BB","6","No focal subject","Unclear video","",12,52.615,NA,NA,71,422.483,NA,NA,NA,NA
2025-06-10,"BB","6","Broken beak","Feed","Auto-|Successful|None",7,NA,156.16,1741.873,39,NA,2.68954918032787,1.34338152092604,NA,NA
2025-06-10,"BB","6","Broken beak","Feed","Auto-|Unknown|None",21,NA,156.16,1741.873,89,NA,8.06864754098361,3.06566552211327,NA,NA
2025-06-10,"BB","6","Broken beak","Feed","Auto-|Unsuccessful|None",13,NA,156.16,1741.873,63,NA,4.99487704918033,2.17007784149591,NA,NA
2025-06-10,"BB","6","Broken beak","Foraging","",11,156.16,156.16,1741.873,63,1597.954,NA,NA,100,91.7376869611045
2025-06-10,"BB","7","No focal subject","Unclear video","",4,4.035,NA,NA,71,422.483,NA,NA,NA,NA
2025-06-10,"BB","7","Broken beak","Alert","",1,0.12,58.839,1741.873,11,68.439,NA,NA,0.203946362106766,3.92904649190842
2025-06-10,"BB","7","Broken beak","Feed","Auto-|Unsuccessful|None",3,NA,58.839,1741.873,63,NA,3.05919543160149,2.17007784149591,NA,NA
2025-06-10,"BB","7","Broken beak","Feed","Auto-|Unknown|None",1,NA,58.839,1741.873,89,NA,1.01973181053383,3.06566552211327,NA,NA
2025-06-10,"BB","7","Broken beak","Feed","Auto-|Successful|None",1,NA,58.839,1741.873,39,NA,1.01973181053383,1.34338152092604,NA,NA
2025-06-10,"BB","7","Broken beak","Foraging","",4,58.719,58.839,1741.873,63,1597.954,NA,NA,99.7960536378932,91.7376869611045
2025-06-10,"C","1","No focal subject","Close proximity","Broken beak|Other crow #1",1,24.6,NA,NA,5,72.04,NA,NA,NA,NA
2025-06-10,"C","1","No focal subject","Close proximity","Other crow #1|Broken beak",1,57.84,NA,NA,8,209.84,NA,NA,NA,NA
2025-06-10,"C","1","Broken beak","Alert","",1,16.88,90.92,1741.873,11,68.439,NA,NA,18.5657721073471,3.92904649190842
2025-06-10,"C","1","Broken beak","Feed","Auto-|Unknown|None",2,NA,90.92,1741.873,89,NA,1.31984161900572,3.06566552211327,NA,NA
2025-06-10,"C","1","Broken beak","Feed","Auto-|Unsuccessful|None",3,NA,90.92,1741.873,63,NA,1.97976242850858,2.17007784149591,NA,NA
2025-06-10,"C","1","Broken beak","Feed","Auto-|Successful|None",3,NA,90.92,1741.873,39,NA,1.97976242850858,1.34338152092604,NA,NA
2025-06-10,"C","1","Broken beak","Foraging","",3,74.04,90.92,1741.873,63,1597.954,NA,NA,81.4342278926529,91.7376869611045
2025-06-10,"C","1","Other crow #1","Brief flight","",1,4,119.959,2006.035,3,6.16,NA,NA,3.33447261147559,0.307073405997403
2025-06-10,"C","1","Other crow #1","Alert","",1,5.96,119.959,2006.035,28,165.597,NA,NA,4.96836419109863,8.2549407163883
2025-06-10,"C","1","Other crow #1","Foraging","",2,11.44,119.959,2006.035,78,1611.199,NA,NA,9.53659166882018,80.3175916671444
2025-06-10,"C","1","Other crow #1","Resting","",2,98.559,119.959,2006.035,5,163.719,NA,NA,82.1605715286056,8.16132320722221
2025-06-10,"C","1","Other crow #2","Brief flight","",2,3,48.84,135.6,2,3,NA,NA,6.14250614250614,2.21238938053097
2025-06-10,"C","1","Other crow #2","Alert","",1,9,48.84,135.6,1,9,NA,NA,18.4275184275184,6.63716814159292
2025-06-10,"C","1","Other crow #2","Foraging","",1,7.08,48.84,135.6,7,54.12,NA,NA,14.4963144963145,39.9115044247788
2025-06-10,"C","1","Other crow #2","Resting","",1,29.76,48.84,135.6,3,48.88,NA,NA,60.9336609336609,36.047197640118
